Unit,Address,SoldPrice,AskingPrice,Bed,Bath,Sqft,Age,SoldDate,DaysOnMarket,PriceSqft,Floor
1202,7362 Elmbridge Way,480600,486800,1,1,597,12,1/27/2020,14,805.0251256,12
310,4600 Westwater Drive,595000,599500,1,1,795,17,1/27/2020,19,748.427673,3
608,3300 Ketcheson Road,480952,524888,1,1,575,0,2/3/2020,20,836.4382609,6
1104,8280 Lansdowne Road,472000,480000,1,1,559,12,1/23/2020,92,844.3649374,11
806,3699 Sexsmith Road,632900,632900,1,1,695,0,1/31/2020,0,910.647482,8
913,3699 Sexsmith Road,637900,637900,1,1,659,0,2/2/2020,2,967.9817906,9
418,3699 Sexsmith Road,612900,612900,1,1,659,0,2/3/2020,3,930.0455235,4
205,9371 Hemlock Drive,453000,476000,1,1,566,11,1/20/2020,12,800.3533569,2
419,3699 Sexsmith Road,592900,592900,1,1,681,0,2/3/2020,3,870.6314244,4
308,3699 Sexsmith Road,579900,579900,1,1,690,0,2/3/2020,3,840.4347826,3
1685,3311 Ketcheson Road,580000,599000,1,1,616,0,2/4/2020,25,941.5584416,16
1505,6351 Buswell Street,518000,548000,1,1,783,13,2/11/2020,3,661.5581098,15
1104,6119 Cooney Road,463800,488000,1,1,626,24,2/7/2020,81,740.8945687,11
1513,5811 No 3 Road,495000,528800,1,1,668,13,2/3/2020,31,741.0179641,15
919,8800 Hazelbridge Way,573000,599900,1,1,616,0,2/11/2020,33,930.1948052,9
115,8600 Park Road,429000,429000,1,1,600,9,1/31/2020,4,715,1
1009,8800 Hazelbridge Way,588888,608000,1,1,616,0,1/30/2020,15,955.987013,10
609,9366 Tomicki Avenue,555000,568000,1,1,793,4,2/3/2020,7,699.8738966,6
314,8535 Jones Road,400000,382000,1,1,694,29,2/10/2020,7,576.3688761,3
911,7488 Lansdowne Road,535000,526000,1,1,584,3,2/11/2020,8,916.0958904,9
107,8200 Jones Road,451000,459000,1,1,721,26,2/8/2020,17,625.520111,1
613,3699 Sexsmith Road,657900,657900,1,1,659,0,2/13/2020,9,998.3308042,6
719,3699 Sexsmith Road,627900,627900,1,1,681,0,2/10/2020,3,922.0264317,7
1710,8288 Granville Avenue,525000,550000,1,1,630,5,2/11/2020,8,833.3333333,17
602,7362 Elmbridge Way,466000,488000,1,1,595,12,2/11/2020,126,783.1932773,6
1015,5580 No 3 Road,660000,699000,1,1,715,2,2/8/2020,18,923.0769231,10
321,3699 Sexsmith Road,619900,619900,1,1,659,0,2/12/2020,6,940.6676783,3
909,3699 Sexsmith Road,469900,469900,1,1,475,0,2/15/2020,9,989.2631579,9
402,4280 Moncton Street,537000,549900,1,1,751,15,2/11/2020,29,715.0466045,4
336,5700 Andrews Road,520000,539900,1,1,775,18,2/15/2020,106,670.9677419,3
1706,3333 Sexsmith Road,539000,559000,1,1,519,2,2/18/2020,106,103.8535645,17
239,7439 Moffatt Road,425000,449000,1,1,793,28,2/16/2020,48,535.9394704,2
208,10788 No 5 Road,487000,499000,1,1,652,2,2/10/2020,6,746.9325153,2
307,3699 Sexsmith Road,659900,659900,1,1,780,0,2/18/2020,13,846.025641,3
819,3699 Sexsmith Road,632900,632900,1,1,621,0,2/16/2020,9,1019.162641,8
511,8688 Hazelbridge Way,519000,519000,1,1,570,2,2/17/2020,4,910.5263158,5
1109,3699 Sexsmith Road,649900,649900,1,1,681,0,2/18/2020,3,954.3318649,11
710,7708 Alderbridge Way,525000,539000,1,1,582,0,2/17/2020,3,902.0618557,7
412,12339 Steveston Highway,436000,399900,1,1,718,6,2/24/2020,7,607.2423398,4
1003,5111 Brighouse Way,635000,649900,1,1,670,7,1/18/2020,15,947.761194,10
908,3233 Ketcheson Road,510000,538000,1,1,519,2,2/11/2020,19,982.6589595,9
323,9366 Tomicki Avenue,550000,578000,1,1,732,4,2/14/2020,11,751.3661202,3
1110,5599 Cooney Road,608000,628000,1,1,653,1,2/14/2020,11,931.0872894,11
1108,3699 Sexsmith Road,659900,659900,1,1,659,0,2/20/2020,3,1001.365706,11
606,9019 Cook Road,530000,635000,1,1,586,5,2/18/2020,43,904.4368601,6
753,4099 Stolberg Street,483000,498000,1,1,715,7,2/26/2020,36,675.5244755,7
1003,8800 Hazelbridge Way,552000,567000,1,1,565,0,2/13/2020,23,976.9911504,10
228,12339 Steveston Highway,400000,420000,1,1,591,6,2/25/2020,26,676.8189509,2
607,6233 Katsura Street,480000,499000,1,1,672,16,2/18/2020,10,714.2857143,6
1505,6333 Katsura Street,520000,520000,1,1,722,12,1/20/2020,6,720.2216066,15
398,4133 Stolberg Street,400000,399000,1,1,536,7,2/15/2020,4,746.2686567,3
1110,8800 Hazelbridge Way,573000,625000,1,1,659,0,2/3/2020,19,869.4992413,11
207,12639 No 2 Road,448000,448000,1,1,652,22,2/22/2020,12,687.1165644,2
818,3699 Sexsmith Road,682900,682900,1,1,659,0,2/27/2020,2,1036.267071,8
521,8080 Cambie Road,550000,569000,1,1,721,12,2/24/2020,35,762.8294036,5
1008,7080 No 3 Road,470000,498000,1,1,629,11,2/26/2020,23,747.217806,10
708,5233 Gilbert Road,535000,549000,1,1,627,3,2/10/2020,7,853.2695375,7
404,14200 Riverport Way,443108,428900,1,1,721,14,2/26/2020,2,614.5742025,4
1011,6200 River Road,495000,525000,1,1,545,6,2/18/2020,134,908.2568807,10
314,5888 Dover Crescent,405500,425000,1,1,675,23,2/15/2020,110,600.7407407,3
204,5111 Brighouse Way,572500,615000,1,1,670,7,3/3/2020,25,854.4776119,2
566,4099 Stolberg Street,480000,499000,1,1,774,7,3/3/2020,8,620.1550388,5
312,23233 Gilley Road,385000,415000,1,1,549,1,1/6/2020,118,701.2750455,3
301,8880 Jones Road,400000,449800,1,1,716,27,2/29/2020,129,558.6592179,3
438,9500 Tomicki Avenue,508000,539000,1,1,600,1,2/15/2020,89,846.6666667,4
1505,9099 Cook Road,538000,550000,1,1,577,5,2/26/2020,51,932.4090121,15
719,6188 No 3 Road,565000,599900,1,1,638,4,3/1/2020,48,885.5799373,7
507,8633 Capstan Way,516799,568000,1,1,588,4,3/3/2020,78,878.9098639,5
910,3233 Ketcheson Road,648000,658000,1,1,660,3,3/5/2020,8,981.8181818,9
310,3333 Sexsmith Road,555000,548000,1,1,694,2,3/4/2020,8,799.7118156,3
218,9399 Alexandra Rd,548800,573000,1,1,765,5,3/6/2020,50,717.3856209,2
118,9399 Alexandra Rd,533000,568000,1,1,760,4,3/9/2020,41,701.3157895,1
107,9333 Alberta Road,470000,486000,1,1,755,17,3/9/2020,4,622.5165563,1
222,9388 Odlin Road,505000,508000,1,1,665,6,3/12/2020,3,759.3984962,2
115,8880 Jones Road,400200,399900,1,1,687,27,3/17/2020,7,582.5327511,1
513,8633 Capstan Way,528000,519000,1,1,581,4,3/16/2020,6,908.777969,5
702,3331 Brown Road,575000,570000,1,1,691,3,3/10/2020,4,832.1273517,7
